,Outlet_Identifier,Outlet_Size,Outlet_Type
1958,OUT049,Medium,Supermarket Type1
1959,OUT013,High,Supermarket Type1
1960,OUT049,Medium,Supermarket Type1
1961,OUT027,Medium,Supermarket Type3
1962,OUT019,Small,Grocery Store
1963,OUT045,,Supermarket Type1
1964,OUT045,,Supermarket Type1
1965,OUT018,Medium,Supermarket Type2
1966,OUT019,Small,Grocery Store
1967,OUT045,,Supermarket Type1
1968,OUT027,Medium,Supermarket Type3
1969,OUT045,,Supermarket Type1
1970,OUT027,Medium,Supermarket Type3
1971,OUT046,Small,Supermarket Type1
1972,OUT049,Medium,Supermarket Type1
1973,OUT049,Medium,Supermarket Type1
1974,OUT017,,Supermarket Type1
1975,OUT017,,Supermarket Type1
1976,OUT019,Small,Grocery Store
1977,OUT027,Medium,Supermarket Type3
1978,OUT046,Small,Supermarket Type1
1979,OUT018,Medium,Supermarket Type2
1980,OUT045,,Supermarket Type1
1981,OUT049,Medium,Supermarket Type1
1982,OUT049,Medium,Supermarket Type1
1983,OUT013,High,Supermarket Type1
1984,OUT017,,Supermarket Type1
1985,OUT018,Medium,Supermarket Type2
1986,OUT045,,Supermarket Type1
1987,OUT027,Medium,Supermarket Type3
1988,OUT010,,Grocery Store
1989,OUT027,Medium,Supermarket Type3
1990,OUT010,,Grocery Store
1991,OUT046,Small,Supermarket Type1
1992,OUT017,,Supermarket Type1
1993,OUT046,Small,Supermarket Type1
1994,OUT035,Small,Supermarket Type1
1995,OUT035,Small,Supermarket Type1
1996,OUT027,Medium,Supermarket Type3
1997,OUT013,High,Supermarket Type1
1998,OUT027,Medium,Supermarket Type3
1999,OUT046,Small,Supermarket Type1
2000,OUT035,Small,Supermarket Type1
2001,OUT046,Small,Supermarket Type1
2002,OUT017,,Supermarket Type1
2003,OUT045,,Supermarket Type1
2004,OUT045,,Supermarket Type1
2005,OUT045,,Supermarket Type1
2006,OUT017,,Supermarket Type1
2007,OUT018,Medium,Supermarket Type2
2008,OUT045,,Supermarket Type1
2009,OUT027,Medium,Supermarket Type3
2010,OUT019,Small,Grocery Store
2011,OUT013,High,Supermarket Type1
2012,OUT017,,Supermarket Type1
2013,OUT018,Medium,Supermarket Type2
2014,OUT019,Small,Grocery Store
2015,OUT019,Small,Grocery Store
2016,OUT017,,Supermarket Type1
2017,OUT010,,Grocery Store
2018,OUT045,,Supermarket Type1
2019,OUT027,Medium,Supermarket Type3
2020,OUT046,Small,Supermarket Type1
2021,OUT019,Small,Grocery Store
2022,OUT013,High,Supermarket Type1
2023,OUT049,Medium,Supermarket Type1
2024,OUT013,High,Supermarket Type1
2025,OUT046,Small,Supermarket Type1
2026,OUT013,High,Supermarket Type1
2027,OUT049,Medium,Supermarket Type1
2028,OUT046,Small,Supermarket Type1
2029,OUT017,,Supermarket Type1
2030,OUT017,,Supermarket Type1
2031,OUT035,Small,Supermarket Type1
2032,OUT013,High,Supermarket Type1
2033,OUT049,Medium,Supermarket Type1
2034,OUT035,Small,Supermarket Type1
2035,OUT019,Small,Grocery Store
2036,OUT035,Small,Supermarket Type1
2037,OUT046,Small,Supermarket Type1
2038,OUT017,,Supermarket Type1
2039,OUT010,,Grocery Store
2040,OUT049,Medium,Supermarket Type1
2041,OUT049,Medium,Supermarket Type1
2042,OUT018,Medium,Supermarket Type2
2043,OUT013,High,Supermarket Type1
2044,OUT017,,Supermarket Type1
2045,OUT017,,Supermarket Type1
2046,OUT045,,Supermarket Type1
2047,OUT045,,Supermarket Type1
2048,OUT035,Small,Supermarket Type1
2049,OUT018,Medium,Supermarket Type2
2050,OUT027,Medium,Supermarket Type3
2051,OUT045,,Supermarket Type1
2052,OUT045,,Supermarket Type1
2053,OUT027,Medium,Supermarket Type3
2054,OUT045,,Supermarket Type1
2055,OUT019,Small,Grocery Store
2056,OUT018,Medium,Supermarket Type2
2057,OUT035,Small,Supermarket Type1
2058,OUT035,Small,Supermarket Type1
2059,OUT046,Small,Supermarket Type1
2060,OUT017,,Supermarket Type1
2061,OUT017,,Supermarket Type1
2062,OUT019,Small,Grocery Store
2063,OUT013,High,Supermarket Type1
2064,OUT018,Medium,Supermarket Type2
2065,OUT010,,Grocery Store
2066,OUT017,,Supermarket Type1
2067,OUT045,,Supermarket Type1
2068,OUT013,High,Supermarket Type1
2069,OUT017,,Supermarket Type1
2070,OUT013,High,Supermarket Type1
2071,OUT013,High,Supermarket Type1
2072,OUT035,Small,Supermarket Type1
2073,OUT027,Medium,Supermarket Type3
2074,OUT049,Medium,Supermarket Type1
2075,OUT049,Medium,Supermarket Type1
2076,OUT017,,Supermarket Type1
2077,OUT046,Small,Supermarket Type1
2078,OUT035,Small,Supermarket Type1
2079,OUT010,,Grocery Store
2080,OUT045,,Supermarket Type1
2081,OUT010,,Grocery Store
2082,OUT049,Medium,Supermarket Type1
2083,OUT027,Medium,Supermarket Type3
2084,OUT027,Medium,Supermarket Type3
2085,OUT035,Small,Supermarket Type1
2086,OUT046,Small,Supermarket Type1
2087,OUT013,High,Supermarket Type1
2088,OUT010,,Grocery Store
2089,OUT017,,Supermarket Type1
2090,OUT049,Medium,Supermarket Type1
2091,OUT013,High,Supermarket Type1
2092,OUT010,,Grocery Store
2093,OUT049,Medium,Supermarket Type1
2094,OUT018,Medium,Supermarket Type2
2095,OUT013,High,Supermarket Type1
2096,OUT018,Medium,Supermarket Type2
2097,OUT017,,Supermarket Type1
2098,OUT045,,Supermarket Type1
2099,OUT027,Medium,Supermarket Type3
2100,OUT017,,Supermarket Type1
2101,OUT046,Small,Supermarket Type1
2102,OUT019,Small,Grocery Store
2103,OUT046,Small,Supermarket Type1
2104,OUT035,Small,Supermarket Type1
2105,OUT013,High,Supermarket Type1
2106,OUT013,High,Supermarket Type1
2107,OUT013,High,Supermarket Type1
2108,OUT018,Medium,Supermarket Type2
2109,OUT027,Medium,Supermarket Type3
2110,OUT017,,Supermarket Type1
2111,OUT049,Medium,Supermarket Type1
2112,OUT045,,Supermarket Type1
2113,OUT035,Small,Supermarket Type1
2114,OUT017,,Supermarket Type1
2115,OUT017,,Supermarket Type1
2116,OUT049,Medium,Supermarket Type1
2117,OUT046,Small,Supermarket Type1
2118,OUT013,High,Supermarket Type1
2119,OUT010,,Grocery Store
2120,OUT018,Medium,Supermarket Type2
2121,OUT046,Small,Supermarket Type1
2122,OUT010,,Grocery Store
2123,OUT018,Medium,Supermarket Type2
2124,OUT010,,Grocery Store
2125,OUT049,Medium,Supermarket Type1
2126,OUT013,High,Supermarket Type1
2127,OUT049,Medium,Supermarket Type1
2128,OUT035,Small,Supermarket Type1
2129,OUT046,Small,Supermarket Type1
2130,OUT035,Small,Supermarket Type1
2131,OUT010,,Grocery Store
2132,OUT027,Medium,Supermarket Type3
2133,OUT049,Medium,Supermarket Type1
2134,OUT049,Medium,Supermarket Type1
2135,OUT018,Medium,Supermarket Type2
2136,OUT017,,Supermarket Type1
2137,OUT045,,Supermarket Type1
2138,OUT013,High,Supermarket Type1
2139,OUT019,Small,Grocery Store
2140,OUT017,,Supermarket Type1
2141,OUT027,Medium,Supermarket Type3
2142,OUT035,Small,Supermarket Type1
2143,OUT017,,Supermarket Type1
2144,OUT013,High,Supermarket Type1
2145,OUT049,Medium,Supermarket Type1
2146,OUT018,Medium,Supermarket Type2
2147,OUT017,,Supermarket Type1
2148,OUT046,Small,Supermarket Type1
2149,OUT018,Medium,Supermarket Type2
2150,OUT049,Medium,Supermarket Type1
2151,OUT018,Medium,Supermarket Type2
2152,OUT045,,Supermarket Type1
2153,OUT019,Small,Grocery Store
2154,OUT045,,Supermarket Type1
2155,OUT046,Small,Supermarket Type1
2156,OUT046,Small,Supermarket Type1
2157,OUT017,,Supermarket Type1
2158,OUT018,Medium,Supermarket Type2
2159,OUT010,,Grocery Store
2160,OUT049,Medium,Supermarket Type1
2161,OUT027,Medium,Supermarket Type3
2162,OUT018,Medium,Supermarket Type2
2163,OUT046,Small,Supermarket Type1
2164,OUT027,Medium,Supermarket Type3
2165,OUT018,Medium,Supermarket Type2
2166,OUT017,,Supermarket Type1
2167,OUT045,,Supermarket Type1
2168,OUT017,,Supermarket Type1
2169,OUT046,Small,Supermarket Type1
2170,OUT010,,Grocery Store
2171,OUT049,Medium,Supermarket Type1
2172,OUT010,,Grocery Store
2173,OUT045,,Supermarket Type1
2174,OUT017,,Supermarket Type1
2175,OUT035,Small,Supermarket Type1
2176,OUT013,High,Supermarket Type1
2177,OUT019,Small,Grocery Store
2178,OUT013,High,Supermarket Type1
2179,OUT013,High,Supermarket Type1
2180,OUT046,Small,Supermarket Type1
2181,OUT035,Small,Supermarket Type1
2182,OUT017,,Supermarket Type1
2183,OUT018,Medium,Supermarket Type2
2184,OUT046,Small,Supermarket Type1
2185,OUT013,High,Supermarket Type1
2186,OUT027,Medium,Supermarket Type3
2187,OUT013,High,Supermarket Type1
2188,OUT018,Medium,Supermarket Type2
2189,OUT017,,Supermarket Type1
2190,OUT018,Medium,Supermarket Type2
2191,OUT013,High,Supermarket Type1
2192,OUT035,Small,Supermarket Type1
2193,OUT045,,Supermarket Type1
2194,OUT046,Small,Supermarket Type1
2195,OUT010,,Grocery Store
2196,OUT018,Medium,Supermarket Type2
2197,OUT045,,Supermarket Type1
2198,OUT035,Small,Supermarket Type1
2199,OUT046,Small,Supermarket Type1
2200,OUT027,Medium,Supermarket Type3
2201,OUT035,Small,Supermarket Type1
2202,OUT049,Medium,Supermarket Type1
2203,OUT018,Medium,Supermarket Type2
2204,OUT010,,Grocery Store
2205,OUT018,Medium,Supermarket Type2
2206,OUT045,,Supermarket Type1
2207,OUT035,Small,Supermarket Type1
2208,OUT019,Small,Grocery Store
2209,OUT019,Small,Grocery Store
2210,OUT035,Small,Supermarket Type1
2211,OUT045,,Supermarket Type1
2212,OUT045,,Supermarket Type1
2213,OUT035,Small,Supermarket Type1
2214,OUT045,,Supermarket Type1
2215,OUT035,Small,Supermarket Type1
2216,OUT045,,Supermarket Type1
2217,OUT035,Small,Supermarket Type1
2218,OUT049,Medium,Supermarket Type1
2219,OUT049,Medium,Supermarket Type1
2220,OUT049,Medium,Supermarket Type1
2221,OUT035,Small,Supermarket Type1
2222,OUT045,,Supermarket Type1
2223,OUT010,,Grocery Store
2224,OUT013,High,Supermarket Type1
2225,OUT013,High,Supermarket Type1
2226,OUT045,,Supermarket Type1
2227,OUT018,Medium,Supermarket Type2
2228,OUT013,High,Supermarket Type1
2229,OUT027,Medium,Supermarket Type3
2230,OUT013,High,Supermarket Type1
2231,OUT046,Small,Supermarket Type1
2232,OUT035,Small,Supermarket Type1
2233,OUT045,,Supermarket Type1
2234,OUT017,,Supermarket Type1
2235,OUT017,,Supermarket Type1
2236,OUT045,,Supermarket Type1
2237,OUT018,Medium,Supermarket Type2
2238,OUT027,Medium,Supermarket Type3
2239,OUT019,Small,Grocery Store
2240,OUT049,Medium,Supermarket Type1
2241,OUT046,Small,Supermarket Type1
2242,OUT027,Medium,Supermarket Type3
2243,OUT017,,Supermarket Type1
2244,OUT013,High,Supermarket Type1
2245,OUT017,,Supermarket Type1
2246,OUT049,Medium,Supermarket Type1
2247,OUT049,Medium,Supermarket Type1
2248,OUT017,,Supermarket Type1
2249,OUT046,Small,Supermarket Type1
2250,OUT046,Small,Supermarket Type1
2251,OUT019,Small,Grocery Store
2252,OUT010,,Grocery Store
2253,OUT046,Small,Supermarket Type1
2254,OUT049,Medium,Supermarket Type1
2255,OUT010,,Grocery Store
2256,OUT049,Medium,Supermarket Type1
2257,OUT049,Medium,Supermarket Type1
2258,OUT049,Medium,Supermarket Type1
2259,OUT045,,Supermarket Type1
2260,OUT045,,Supermarket Type1
2261,OUT045,,Supermarket Type1
2262,OUT035,Small,Supermarket Type1
2263,OUT013,High,Supermarket Type1
2264,OUT027,Medium,Supermarket Type3
2265,OUT027,Medium,Supermarket Type3
2266,OUT049,Medium,Supermarket Type1
2267,OUT049,Medium,Supermarket Type1
2268,OUT013,High,Supermarket Type1
2269,OUT018,Medium,Supermarket Type2
2270,OUT013,High,Supermarket Type1
2271,OUT019,Small,Grocery Store
2272,OUT017,,Supermarket Type1
2273,OUT017,,Supermarket Type1
2274,OUT045,,Supermarket Type1
2275,OUT035,Small,Supermarket Type1
2276,OUT019,Small,Grocery Store
2277,OUT010,,Grocery Store
2278,OUT013,High,Supermarket Type1
2279,OUT046,Small,Supermarket Type1
2280,OUT035,Small,Supermarket Type1
2281,OUT017,,Supermarket Type1
2282,OUT018,Medium,Supermarket Type2
2283,OUT046,Small,Supermarket Type1
2284,OUT013,High,Supermarket Type1
2285,OUT017,,Supermarket Type1
2286,OUT049,Medium,Supermarket Type1
2287,OUT010,,Grocery Store
2288,OUT049,Medium,Supermarket Type1
2289,OUT017,,Supermarket Type1
2290,OUT018,Medium,Supermarket Type2
2291,OUT046,Small,Supermarket Type1
2292,OUT018,Medium,Supermarket Type2
2293,OUT045,,Supermarket Type1
2294,OUT010,,Grocery Store
2295,OUT018,Medium,Supermarket Type2
2296,OUT017,,Supermarket Type1
2297,OUT018,Medium,Supermarket Type2
2298,OUT045,,Supermarket Type1
2299,OUT045,,Supermarket Type1
2300,OUT035,Small,Supermarket Type1
2301,OUT018,Medium,Supermarket Type2
2302,OUT049,Medium,Supermarket Type1
2303,OUT046,Small,Supermarket Type1
2304,OUT035,Small,Supermarket Type1
2305,OUT027,Medium,Supermarket Type3
2306,OUT017,,Supermarket Type1
2307,OUT035,Small,Supermarket Type1
2308,OUT049,Medium,Supermarket Type1
2309,OUT046,Small,Supermarket Type1
2310,OUT035,Small,Supermarket Type1
2311,OUT035,Small,Supermarket Type1
2312,OUT010,,Grocery Store
2313,OUT010,,Grocery Store
2314,OUT045,,Supermarket Type1
2315,OUT027,Medium,Supermarket Type3
2316,OUT013,High,Supermarket Type1
2317,OUT049,Medium,Supermarket Type1
2318,OUT010,,Grocery Store
2319,OUT045,,Supermarket Type1
2320,OUT027,Medium,Supermarket Type3
2321,OUT045,,Supermarket Type1
2322,OUT027,Medium,Supermarket Type3
2323,OUT049,Medium,Supermarket Type1
2324,OUT010,,Grocery Store
2325,OUT019,Small,Grocery Store
2326,OUT027,Medium,Supermarket Type3
2327,OUT019,Small,Grocery Store
2328,OUT017,,Supermarket Type1
2329,OUT013,High,Supermarket Type1
2330,OUT049,Medium,Supermarket Type1
2331,OUT049,Medium,Supermarket Type1
2332,OUT018,Medium,Supermarket Type2
2333,OUT046,Small,Supermarket Type1
2334,OUT027,Medium,Supermarket Type3
2335,OUT046,Small,Supermarket Type1
2336,OUT010,,Grocery Store
2337,OUT019,Small,Grocery Store
2338,OUT045,,Supermarket Type1
2339,OUT017,,Supermarket Type1
2340,OUT010,,Grocery Store
2341,OUT017,,Supermarket Type1
2342,OUT017,,Supermarket Type1
2343,OUT017,,Supermarket Type1
2344,OUT013,High,Supermarket Type1
2345,OUT010,,Grocery Store
2346,OUT013,High,Supermarket Type1
2347,OUT046,Small,Supermarket Type1
2348,OUT035,Small,Supermarket Type1
2349,OUT049,Medium,Supermarket Type1
2350,OUT010,,Grocery Store
2351,OUT017,,Supermarket Type1
2352,OUT049,Medium,Supermarket Type1
2353,OUT035,Small,Supermarket Type1
2354,OUT017,,Supermarket Type1
2355,OUT035,Small,Supermarket Type1
2356,OUT017,,Supermarket Type1
2357,OUT027,Medium,Supermarket Type3
2358,OUT013,High,Supermarket Type1
2359,OUT046,Small,Supermarket Type1
2360,OUT046,Small,Supermarket Type1
2361,OUT018,Medium,Supermarket Type2
2362,OUT035,Small,Supermarket Type1
2363,OUT017,,Supermarket Type1
2364,OUT049,Medium,Supermarket Type1
2365,OUT049,Medium,Supermarket Type1
2366,OUT045,,Supermarket Type1
2367,OUT013,High,Supermarket Type1
2368,OUT035,Small,Supermarket Type1
2369,OUT035,Small,Supermarket Type1
2370,OUT013,High,Supermarket Type1
2371,OUT013,High,Supermarket Type1
2372,OUT017,,Supermarket Type1
2373,OUT017,,Supermarket Type1
2374,OUT018,Medium,Supermarket Type2
2375,OUT049,Medium,Supermarket Type1
2376,OUT013,High,Supermarket Type1
2377,OUT046,Small,Supermarket Type1
2378,OUT027,Medium,Supermarket Type3
2379,OUT045,,Supermarket Type1
2380,OUT049,Medium,Supermarket Type1
2381,OUT035,Small,Supermarket Type1
2382,OUT017,,Supermarket Type1
2383,OUT049,Medium,Supermarket Type1
2384,OUT010,,Grocery Store
2385,OUT017,,Supermarket Type1
2386,OUT018,Medium,Supermarket Type2
2387,OUT035,Small,Supermarket Type1
2388,OUT018,Medium,Supermarket Type2
2389,OUT046,Small,Supermarket Type1
2390,OUT046,Small,Supermarket Type1
2391,OUT046,Small,Supermarket Type1
2392,OUT013,High,Supermarket Type1
2393,OUT035,Small,Supermarket Type1
2394,OUT010,,Grocery Store
2395,OUT027,Medium,Supermarket Type3
2396,OUT045,,Supermarket Type1
2397,OUT017,,Supermarket Type1
2398,OUT046,Small,Supermarket Type1
2399,OUT049,Medium,Supermarket Type1
2400,OUT045,,Supermarket Type1
2401,OUT019,Small,Grocery Store
2402,OUT027,Medium,Supermarket Type3
2403,OUT019,Small,Grocery Store
2404,OUT017,,Supermarket Type1
2405,OUT046,Small,Supermarket Type1
2406,OUT049,Medium,Supermarket Type1
2407,OUT010,,Grocery Store
2408,OUT010,,Grocery Store
2409,OUT017,,Supermarket Type1
2410,OUT017,,Supermarket Type1
2411,OUT035,Small,Supermarket Type1
2412,OUT035,Small,Supermarket Type1
2413,OUT017,,Supermarket Type1
2414,OUT045,,Supermarket Type1
2415,OUT045,,Supermarket Type1
2416,OUT046,Small,Supermarket Type1
2417,OUT017,,Supermarket Type1
2418,OUT013,High,Supermarket Type1
2419,OUT013,High,Supermarket Type1
2420,OUT035,Small,Supermarket Type1
2421,OUT049,Medium,Supermarket Type1
2422,OUT013,High,Supermarket Type1
2423,OUT045,,Supermarket Type1
2424,OUT027,Medium,Supermarket Type3
2425,OUT027,Medium,Supermarket Type3
2426,OUT013,High,Supermarket Type1
2427,OUT049,Medium,Supermarket Type1
2428,OUT013,High,Supermarket Type1
2429,OUT046,Small,Supermarket Type1
2430,OUT019,Small,Grocery Store
2431,OUT027,Medium,Supermarket Type3
2432,OUT027,Medium,Supermarket Type3
2433,OUT027,Medium,Supermarket Type3
2434,OUT013,High,Supermarket Type1
2435,OUT019,Small,Grocery Store
2436,OUT049,Medium,Supermarket Type1
2437,OUT027,Medium,Supermarket Type3
2438,OUT013,High,Supermarket Type1
2439,OUT019,Small,Grocery Store
2440,OUT017,,Supermarket Type1
2441,OUT018,Medium,Supermarket Type2
2442,OUT018,Medium,Supermarket Type2
2443,OUT013,High,Supermarket Type1
2444,OUT046,Small,Supermarket Type1
2445,OUT010,,Grocery Store
2446,OUT027,Medium,Supermarket Type3
2447,OUT018,Medium,Supermarket Type2
2448,OUT035,Small,Supermarket Type1
2449,OUT010,,Grocery Store
2450,OUT018,Medium,Supermarket Type2
2451,OUT046,Small,Supermarket Type1
2452,OUT035,Small,Supermarket Type1
2453,OUT035,Small,Supermarket Type1
2454,OUT035,Small,Supermarket Type1
2455,OUT046,Small,Supermarket Type1
2456,OUT018,Medium,Supermarket Type2
2457,OUT046,Small,Supermarket Type1
2458,OUT049,Medium,Supermarket Type1
2459,OUT045,,Supermarket Type1
2460,OUT045,,Supermarket Type1
2461,OUT035,Small,Supermarket Type1
2462,OUT046,Small,Supermarket Type1
2463,OUT049,Medium,Supermarket Type1
2464,OUT013,High,Supermarket Type1
2465,OUT045,,Supermarket Type1
2466,OUT046,Small,Supermarket Type1
2467,OUT013,High,Supermarket Type1
2468,OUT017,,Supermarket Type1
2469,OUT035,Small,Supermarket Type1
2470,OUT010,,Grocery Store
2471,OUT045,,Supermarket Type1
2472,OUT010,,Grocery Store
2473,OUT045,,Supermarket Type1
2474,OUT046,Small,Supermarket Type1
2475,OUT019,Small,Grocery Store
2476,OUT027,Medium,Supermarket Type3
2477,OUT049,Medium,Supermarket Type1
2478,OUT045,,Supermarket Type1
2479,OUT010,,Grocery Store
2480,OUT010,,Grocery Store
2481,OUT045,,Supermarket Type1
2482,OUT046,Small,Supermarket Type1
2483,OUT018,Medium,Supermarket Type2
2484,OUT027,Medium,Supermarket Type3
2485,OUT017,,Supermarket Type1
2486,OUT019,Small,Grocery Store
2487,OUT010,,Grocery Store
2488,OUT045,,Supermarket Type1
2489,OUT049,Medium,Supermarket Type1
2490,OUT017,,Supermarket Type1
2491,OUT010,,Grocery Store
2492,OUT027,Medium,Supermarket Type3
2493,OUT049,Medium,Supermarket Type1
2494,OUT013,High,Supermarket Type1
2495,OUT035,Small,Supermarket Type1
2496,OUT045,,Supermarket Type1
2497,OUT046,Small,Supermarket Type1
2498,OUT049,Medium,Supermarket Type1
2499,OUT049,Medium,Supermarket Type1
2500,OUT027,Medium,Supermarket Type3
2501,OUT046,Small,Supermarket Type1
2502,OUT049,Medium,Supermarket Type1
2503,OUT035,Small,Supermarket Type1
2504,OUT049,Medium,Supermarket Type1
2505,OUT049,Medium,Supermarket Type1
2506,OUT049,Medium,Supermarket Type1
2507,OUT045,,Supermarket Type1
2508,OUT027,Medium,Supermarket Type3
2509,OUT018,Medium,Supermarket Type2
2510,OUT017,,Supermarket Type1
2511,OUT046,Small,Supermarket Type1
2512,OUT018,Medium,Supermarket Type2
2513,OUT035,Small,Supermarket Type1
2514,OUT046,Small,Supermarket Type1
2515,OUT013,High,Supermarket Type1
2516,OUT046,Small,Supermarket Type1
2517,OUT045,,Supermarket Type1
2518,OUT027,Medium,Supermarket Type3
2519,OUT049,Medium,Supermarket Type1
2520,OUT049,Medium,Supermarket Type1
2521,OUT017,,Supermarket Type1
2522,OUT027,Medium,Supermarket Type3
2523,OUT013,High,Supermarket Type1
2524,OUT046,Small,Supermarket Type1
2525,OUT017,,Supermarket Type1
2526,OUT017,,Supermarket Type1
2527,OUT010,,Grocery Store
2528,OUT046,Small,Supermarket Type1
2529,OUT027,Medium,Supermarket Type3
2530,OUT046,Small,Supermarket Type1
2531,OUT045,,Supermarket Type1
2532,OUT035,Small,Supermarket Type1
2533,OUT027,Medium,Supermarket Type3
2534,OUT046,Small,Supermarket Type1
2535,OUT017,,Supermarket Type1
2536,OUT035,Small,Supermarket Type1
2537,OUT045,,Supermarket Type1
2538,OUT035,Small,Supermarket Type1
2539,OUT035,Small,Supermarket Type1
2540,OUT013,High,Supermarket Type1
2541,OUT046,Small,Supermarket Type1
2542,OUT046,Small,Supermarket Type1
2543,OUT017,,Supermarket Type1
2544,OUT035,Small,Supermarket Type1
2545,OUT045,,Supermarket Type1
2546,OUT018,Medium,Supermarket Type2
2547,OUT035,Small,Supermarket Type1
2548,OUT046,Small,Supermarket Type1
2549,OUT049,Medium,Supermarket Type1
2550,OUT027,Medium,Supermarket Type3
2551,OUT013,High,Supermarket Type1
2552,OUT035,Small,Supermarket Type1
2553,OUT046,Small,Supermarket Type1
2554,OUT017,,Supermarket Type1
2555,OUT035,Small,Supermarket Type1
2556,OUT018,Medium,Supermarket Type2
2557,OUT027,Medium,Supermarket Type3
2558,OUT045,,Supermarket Type1
2559,OUT013,High,Supermarket Type1
2560,OUT013,High,Supermarket Type1
2561,OUT049,Medium,Supermarket Type1
2562,OUT035,Small,Supermarket Type1
2563,OUT027,Medium,Supermarket Type3
2564,OUT035,Small,Supermarket Type1
2565,OUT017,,Supermarket Type1
2566,OUT046,Small,Supermarket Type1
2567,OUT027,Medium,Supermarket Type3
2568,OUT045,,Supermarket Type1
2569,OUT045,,Supermarket Type1
2570,OUT035,Small,Supermarket Type1
2571,OUT019,Small,Grocery Store
2572,OUT035,Small,Supermarket Type1
2573,OUT010,,Grocery Store
2574,OUT035,Small,Supermarket Type1
2575,OUT045,,Supermarket Type1
2576,OUT010,,Grocery Store
2577,OUT018,Medium,Supermarket Type2
2578,OUT045,,Supermarket Type1
2579,OUT049,Medium,Supermarket Type1
2580,OUT046,Small,Supermarket Type1
2581,OUT027,Medium,Supermarket Type3
2582,OUT010,,Grocery Store
2583,OUT035,Small,Supermarket Type1
2584,OUT035,Small,Supermarket Type1
2585,OUT027,Medium,Supermarket Type3
2586,OUT019,Small,Grocery Store
2587,OUT018,Medium,Supermarket Type2
2588,OUT018,Medium,Supermarket Type2
2589,OUT027,Medium,Supermarket Type3
2590,OUT018,Medium,Supermarket Type2
2591,OUT046,Small,Supermarket Type1
2592,OUT018,Medium,Supermarket Type2
2593,OUT045,,Supermarket Type1
2594,OUT045,,Supermarket Type1
2595,OUT019,Small,Grocery Store
2596,OUT049,Medium,Supermarket Type1
2597,OUT045,,Supermarket Type1
2598,OUT027,Medium,Supermarket Type3
2599,OUT035,Small,Supermarket Type1
2600,OUT010,,Grocery Store
2601,OUT035,Small,Supermarket Type1
2602,OUT049,Medium,Supermarket Type1
2603,OUT045,,Supermarket Type1
2604,OUT017,,Supermarket Type1
2605,OUT017,,Supermarket Type1
2606,OUT035,Small,Supermarket Type1
2607,OUT045,,Supermarket Type1
2608,OUT035,Small,Supermarket Type1
2609,OUT045,,Supermarket Type1
2610,OUT018,Medium,Supermarket Type2
2611,OUT045,,Supermarket Type1
2612,OUT013,High,Supermarket Type1
2613,OUT019,Small,Grocery Store
2614,OUT018,Medium,Supermarket Type2
2615,OUT027,Medium,Supermarket Type3
2616,OUT017,,Supermarket Type1
2617,OUT018,Medium,Supermarket Type2
2618,OUT045,,Supermarket Type1
2619,OUT049,Medium,Supermarket Type1
2620,OUT010,,Grocery Store
2621,OUT046,Small,Supermarket Type1
2622,OUT035,Small,Supermarket Type1
2623,OUT017,,Supermarket Type1
2624,OUT045,,Supermarket Type1
2625,OUT017,,Supermarket Type1
2626,OUT018,Medium,Supermarket Type2
2627,OUT049,Medium,Supermarket Type1
2628,OUT013,High,Supermarket Type1
2629,OUT049,Medium,Supermarket Type1
2630,OUT013,High,Supermarket Type1
2631,OUT045,,Supermarket Type1
2632,OUT046,Small,Supermarket Type1
2633,OUT049,Medium,Supermarket Type1
2634,OUT035,Small,Supermarket Type1
2635,OUT027,Medium,Supermarket Type3
2636,OUT049,Medium,Supermarket Type1
2637,OUT046,Small,Supermarket Type1
2638,OUT035,Small,Supermarket Type1
2639,OUT035,Small,Supermarket Type1
2640,OUT046,Small,Supermarket Type1
2641,OUT027,Medium,Supermarket Type3
2642,OUT027,Medium,Supermarket Type3
2643,OUT018,Medium,Supermarket Type2
2644,OUT017,,Supermarket Type1
2645,OUT035,Small,Supermarket Type1
2646,OUT017,,Supermarket Type1
2647,OUT013,High,Supermarket Type1
2648,OUT027,Medium,Supermarket Type3
2649,OUT046,Small,Supermarket Type1
2650,OUT049,Medium,Supermarket Type1
2651,OUT013,High,Supermarket Type1
2652,OUT046,Small,Supermarket Type1
2653,OUT017,,Supermarket Type1
2654,OUT046,Small,Supermarket Type1
2655,OUT013,High,Supermarket Type1
2656,OUT017,,Supermarket Type1
2657,OUT049,Medium,Supermarket Type1
2658,OUT046,Small,Supermarket Type1
2659,OUT027,Medium,Supermarket Type3
2660,OUT027,Medium,Supermarket Type3
2661,OUT046,Small,Supermarket Type1
2662,OUT013,High,Supermarket Type1
2663,OUT019,Small,Grocery Store
2664,OUT035,Small,Supermarket Type1
2665,OUT027,Medium,Supermarket Type3
2666,OUT035,Small,Supermarket Type1
2667,OUT035,Small,Supermarket Type1
2668,OUT035,Small,Supermarket Type1
2669,OUT027,Medium,Supermarket Type3
2670,OUT049,Medium,Supermarket Type1
2671,OUT046,Small,Supermarket Type1
2672,OUT049,Medium,Supermarket Type1
2673,OUT013,High,Supermarket Type1
2674,OUT045,,Supermarket Type1
2675,OUT027,Medium,Supermarket Type3
2676,OUT013,High,Supermarket Type1
2677,OUT013,High,Supermarket Type1
2678,OUT010,,Grocery Store
2679,OUT013,High,Supermarket Type1
